Customer,Time Since Last Arrival,Arrival Time,Time Service Begins,Service Time,Time Service Ends,Time Service Begins,Service Time,Time Service Ends,Time in Queue,Time in System
1,0,0,-,-,-,0,6,6,0,6
2,2,2,2,2,4,-,-,-,0,2
3,4,6,-,-,-,6,4,10,0,4
4,4,10,-,-,-,10,6,16,0,6
5,2,12,12,5,17,-,-,-,0,5
6,2,14,-,-,-,16,4,20,2,6
7,3,17,17,2,19,-,-,-,0,2
8,3,20,-,-,-,20,5,25,0,5
9,3,23,23,3,26,-,-,-,0,3
10,1,24,-,-,-,25,4,29,1,5
11,2,26,26,3,29,-,-,-,0,3
12,2,28,29,3,32,-,-,-,1,4
13,2,30,-,-,-,30,6,36,0,6
14,1,31,32,2,34,-,-,-,1,3
15,2,33,34,4,38,-,-,-,1,5
16,2,35,-,-,-,36,4,40,1,5
17,2,37,38,4,42,-,-,-,1,5
18,3,40,-,-,-,40,5,45,0,5
19,2,42,42,2,44,-,-,-,0,2
20,2,44,44,4,48,-,-,-,0,4
21,4,48,-,-,-,48,3,51,0,3
22,1,49,49,3,52,-,-,-,0,3
23,2,51,-,-,-,51,5,56,0,5
24,3,54,54,3,57,-,-,-,0,3
25,1,55,-,-,-,56,6,62,1,7
26,4,59,59,3,62,-,-,-,0,3
