Time;La;Lb;Wq;Waiting Queue;Future Event List;Ci;Cw
0;0;1;0;[];[(2, 'A'), (5, 'D', 0), (60, 'E')];0;0
2;0;0;0;[];[(5, 'D', 0), (5, 'D', 1), (6, 'A'), (60, 'E')];2;0
5;1;1;0;[];[(6, 'A'), (60, 'E')];2;0
6;0;1;0;[];[(9, 'D', 0), (10, 'A'), (60, 'E')];4;0
9;1;1;0;[];[(10, 'A'), (60, 'E')];7;0
10;0;1;0;[];[(12, 'A'), (15, 'D', 0), (60, 'E')];9;0
12;0;0;0;[];[(14, 'A'), (15, 'D', 0), (18, 'D', 1), (60, 'E')];11;0
14;0;0;1;[5];[(15, 'D', 0), (17, 'A'), (18, 'D', 1), (60, 'E')];11;0
15;0;0;0;[];[(17, 'A'), (18, 'D', 0), (18, 'D', 1), (60, 'E')];11;1
17;0;0;1;[6];[(18, 'D', 0), (18, 'D', 1), (20, 'A'), (60, 'E')];11;1
18;0;1;0;[];[(20, 'D', 0), (20, 'A'), (60, 'E')];11;2
20;0;1;0;[];[(23, 'A'), (24, 'D', 0), (60, 'E')];13;2
23;0;0;0;[];[(24, 'D', 0), (24, 'A'), (27, 'D', 1), (60, 'E')];16;2
24;0;0;0;[];[(26, 'A'), (27, 'D', 0), (27, 'D', 1), (60, 'E')];16;2
26;0;0;1;[10];[(27, 'D', 0), (27, 'D', 1), (28, 'A'), (60, 'E')];16;2
27;0;1;0;[];[(28, 'A'), (30, 'D', 0), (60, 'E')];16;3
28;0;0;0;[];[(30, 'D', 0), (30, 'A'), (32, 'D', 1), (60, 'E')];17;3
30;0;0;0;[];[(31, 'A'), (32, 'D', 1), (35, 'D', 0), (60, 'E')];17;3
31;0;0;1;[13];[(32, 'D', 1), (33, 'A'), (35, 'D', 0), (60, 'E')];17;3
32;0;0;0;[];[(33, 'A'), (35, 'D', 0), (35, 'D', 1), (60, 'E')];17;4
33;0;0;1;[14];[(35, 'D', 0), (35, 'D', 1), (35, 'A'), (60, 'E')];17;4
35;0;0;0;[];[(37, 'A'), (39, 'D', 0), (39, 'D', 1), (60, 'E')];17;6
37;0;0;1;[16];[(39, 'D', 0), (39, 'D', 1), (40, 'A'), (60, 'E')];17;6
39;0;1;0;[];[(40, 'A'), (43, 'D', 0), (60, 'E')];17;8
40;0;0;0;[];[(42, 'A'), (43, 'D', 0), (45, 'D', 1), (60, 'E')];18;8
42;0;0;1;[18];[(43, 'D', 0), (44, 'A'), (45, 'D', 1), (60, 'E')];18;8
43;0;0;0;[];[(44, 'A'), (45, 'D', 0), (45, 'D', 1), (60, 'E')];18;9
44;0;0;1;[19];[(45, 'D', 0), (45, 'D', 1), (48, 'A'), (60, 'E')];18;9
45;0;1;0;[];[(48, 'A'), (49, 'D', 0), (60, 'E')];18;10
48;0;0;0;[];[(49, 'D', 0), (49, 'A'), (51, 'D', 1), (60, 'E')];21;10
49;0;0;0;[];[(51, 'D', 1), (51, 'A'), (52, 'D', 0), (60, 'E')];21;10
51;0;0;0;[];[(52, 'D', 0), (54, 'A'), (56, 'D', 1), (60, 'E')];21;10
52;1;0;0;[];[(54, 'A'), (56, 'D', 1), (60, 'E')];21;10
54;0;0;0;[];[(55, 'A'), (56, 'D', 1), (57, 'D', 0), (60, 'E')];23;10
55;0;0;1;[24];[(56, 'D', 1), (57, 'D', 0), (59, 'A'), (60, 'E')];23;10
56;0;0;0;[];[(57, 'D', 0), (59, 'A'), (60, 'E'), (62, 'D', 1)];23;11
57;1;0;0;[];[(59, 'A'), (60, 'E'), (62, 'D', 1)];23;11
59;0;0;0;[];[(60, 'E'), (62, 'D', 0), (62, 'D', 1)];25;11
60;0;0;0;[];[(62, 'D', 0), (62, 'D', 1)];25;11
62;1;1;0;[];[];25;11
